id_riga,data,anno,mese,comune,comune_istat,provincia,località,lat,lon,tipologia,codice_colore,dist_comune_km,comune_da_coordinate,flag_coord,flag_coord_bassa_precisione,flag_possibile_duplicato,gruppo_duplicato,flag_località_incompleta,meteo_punto,meteo_lat,meteo_lon,fwi_cella_lat,fwi_cella_lon,fwi_dist_cella_km,fwi,fwi_classe,temp_max_c,temp_ore12_c,umidita_min_pct,umidita_media_pct,umidita_ore12_pct,vento_max_kmh,vento_ore12_kmh,raffica_max_kmh,dir_vento_ore12_gradi,dir_vento_max_gradi,pioggia_giorno_mm,pioggia_giorno_prima_mm,meteo_quota_m,vento_ore12_nome,fuoco_spinto_verso
0,2024-04-07,2024,4,Gravina in Puglia,72023,BA,C.da Albanello,40.788722,16.438278,Bosco,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.79,16.44,40.7,16.35,12.530240681228314,23.610847,alta,25.4,23.6,32,58.75,38.0,13.4,12.1,28.1,330.0,5,0.0,0.0,389.0,Maestrale (NO),SE
1,2024-05-06,2024,5,Altamura,72004,BA,Sant'Antonio,40.88,16.68025,Bosco,Arancione,0.0,Altamura,ok,True,False,-1,False,incendio,40.88,16.68,40.95,16.6,10.268924095905051,21.68082,alta,23.1,21.6,41,65.29166666666667,47.0,15.0,13.7,36.7,175.0,163,0.0,0.3,455.0,Ostro (S),N
2,2024-06-10,2024,6,Gioia del Colle,72021,BA,S.C. Casotta,40.816099,16.902061,Macchia,Arancione,0.0,Gioia del Colle,ok,False,False,-1,False,incendio,40.82,16.9,40.7,16.85,13.966491110523243,56.078846,estrema,32.1,31.5,26,50.91666666666666,28.0,22.2,20.9,47.5,224.0,223,0.2,0.0,348.0,Libeccio (SO),NE
3,2024-06-11,2024,6,Grumo Appula,72024,BA,Quadrifoglio,40.912644,16.695124,Macchia,Arancione,0.0,Grumo Appula,ok,False,False,-1,False,incendio,40.91,16.7,40.95,16.6,9.491257586765244,37.131897,alta,30.3,29.8,34,52.29166666666666,34.0,19.3,10.4,36.4,284.0,233,0.0,0.0,347.0,Ponente (O),E
4,2024-06-18,2024,6,Gravina in Puglia,72023,BA,Masseria Lorusso,40.773349,16.48619,Bosco,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.77,16.49,40.7,16.6,12.078141218011424,43.025063,molto alta,33.5,32.5,24,37.04166666666666,25.0,15.8,7.3,33.5,33.0,45,0.0,0.0,410.0,Grecale (NE),SO
5,2024-06-20,2024,6,Acquaviva delle Fonti,72001,BA,sp82,40.852028,16.879389,Bosco,Arancione,0.0,Acquaviva delle Fonti,ok,False,False,-1,False,incendio,40.85,16.88,40.95,16.85,11.382215326492569,68.83377,estrema,34.2,33.3,26,40.66666666666666,27.0,22.7,20.2,49.0,357.0,358,0.0,0.0,335.0,Tramontana (N),S
6,2024-06-20,2024,6,Santeramo in Colle,72041,BA,Lagopalumbo,40.796966,16.794257,Bosco,Arancione,0.0,Santeramo in Colle,ok,False,False,-1,False,incendio,40.8,16.79,40.7,16.85,12.191291982018944,67.95877,estrema,34.3,33.0,26,36.208333333333336,26.0,22.8,22.0,49.0,5.0,5,0.0,0.0,431.0,Tramontana (N),S
7,2024-06-21,2024,6,Santeramo in Colle,72041,BA,Bosco del Santissimo,40.774167,16.700556,Bosco,Arancione,0.0,Santeramo in Colle,ok,False,False,-1,False,incendio,40.77,16.7,40.7,16.6,11.44732110861824,45.02539,molto alta,37.5,36.1,23,36.375,25.0,16.3,11.4,32.8,35.0,6,0.0,0.0,408.0,Grecale (NE),SO
8,2024-06-27,2024,6,Ruvo di Puglia,72038,BA,Patanella,41.038889,16.425556,Bosco,Arancione,0.0,Ruvo di Puglia,ok,False,False,-1,False,incendio,41.04,16.43,40.95,16.35,12.027467952518986,18.453276,moderata,27.5,26.3,39,64.16666666666667,43.0,17.3,12.0,37.4,303.0,291,1.7000000000000002,1.2000000000000002,375.0,Maestrale (NO),SE
9,2024-07-01,2024,7,Acquaviva delle Fonti,72001,BA,masseria primocielo,40.845707,16.804675,Bosco,Arancione,0.0,Acquaviva delle Fonti,ok,False,False,-1,False,incendio,40.85,16.8,40.95,16.85,11.867371905382852,47.336914,molto alta,36.0,34.3,26,43.29166666666666,31.0,17.5,1.6,41.8,333.0,189,0.0,0.0,429.0,Maestrale (NO),SE
